level,character,meaning,sound
2,艦,싸움배,함
6,合 ,합할,합
2,陜,땅이름,합
4,航 ,배,항
4,港 ,항구,항
4,抗 ,막을,항
3,恒,항상,항
3,項,항목,항
3,巷,거리,항
2,沆,넓을,항
2,亢,높을,항
7,海 ,바다,해
5,害 ,해할,해
4,解 ,풀,해
3,亥,열두째 지지/돼지,해
3,該,갖출,해
3,奚,어찌,해
4,核 ,씨,핵
6,幸 ,다행,행
2,杏,살구나무,행
6,行 ,다닐/항렬,행/항
6,向 ,향할,향
4,香 ,향기,향
4,鄕 ,시골,향
3,響,울릴,향
3,享,누릴,향
5,許 ,허락할,허
4,虛 ,빌,허
4,憲 ,법,헌
3,獻,바칠,헌
3,軒,집,헌
4,驗 ,시험할,험
4,險 ,험할,험
4,革 ,가죽/고칠,혁
2,赫,빛날,혁
2,爀,불빛,혁
6,現 ,나타날,현
4,賢 ,어질,현
4,顯 ,나타날,현
3,玄,검을,현
3,懸,매달,현
3,絃,줄,현
3,縣,고을,현
2,峴,고개,현
2,鉉,솥귀,현
2,弦,시위,현
2,炫,빛날,현
4,血 ,피,혈
3,穴,구멍,혈
3,嫌,싫어할,혐
4,協 ,화할,협
3,脅,위협할,협
2,峽,골짜기,협
8,兄 ,형,형
6,形 ,모양,형
4,刑 ,형벌,형
3,衡,저울대,형
3,螢,반딧불이,형
3,亨,형통할,형
2,瀅,물맑을,형
2,型,모형,형
2,馨,꽃다울,형
2,邢,성씨,형
2,炯,빛날,형
4,惠 ,은혜,혜
3,慧,슬기로울,혜
3,兮,어조사,혜
6,號 ,부르짖을/이름,호
5,湖 ,호수,호
4,護 ,지킬,호
4,好 ,좋을,호
4,戶 ,문,호
4,呼 ,부를,호
3,浩,클,호
3,胡,오랑캐,호
3,豪,호걸,호
3,虎,범,호
3,毫,터럭,호
3,互,서로,호
3,乎,어조사,호
2,濠,해자/호주,호
2,扈,따를/파랑새,호
2,壕,해자,호
2,鎬,호경,호
2,昊,하늘,호
2,皓,흴,호
2,祜,복,호
2,澔,넓을,호
2,晧,밝을,호
4,或 ,혹시,혹
3,惑,미혹할,혹
2,酷,심할,혹
4,混 ,섞일,혼
4,婚 ,혼인할,혼
3,魂,넋,혼
3,昏,어두울,혼
3,忽,갑자기,홀
4,紅 ,붉을,홍
3,洪,넓을,홍
3,弘,클,홍
3,鴻,기러기,홍
2,泓,물깊을,홍
8,火 ,불,화
7,話 ,말씀,화
7,花 ,꽃,화
6,和 ,화할,화
5,化 ,될,화
4,貨 ,재화,화
4,華 ,빛날,화
3,禍,재앙,화
3,禾,벼,화
2,嬅,탐스러울,화
2,靴,신발,화
2,樺,벚나무/자작나무,화
6,畫 ,그림/그을,화/획
4,確 ,굳을,확
3,穫,거둘,확
3,擴,넓힐,확
5,患 ,근심,환
4,環 ,고리,환
4,歡 ,기쁠,환
3,換,바꿀,환
3,還,돌아올,환
3,丸,둥글,환
2,煥,불꽃/빛날,환
